idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
47,P0002_L0022_S0048,148112.0,152400.0,4288.0,77.35743,0.652898,त्वं गु॒णत्र॑याती॒तः।
48,P0002_L0022_S0049,152400.0,156608.0,4208.0,95.81604,0.643388,त्वं अवस्थात्र॑याती॒तः।
49,P0002_L0022_S0050,156608.0,160944.0,4336.0,73.46549999999999,0.622698,त्वं दे॒हत्र॑याती॒तः।
50,P0003_L0001_S0001,160944.0,165136.0,4192.0,82.33811999999999,0.640573,त्वं का॒लत्र॑याती॒तः।
51,P0003_L0001_S0002,165136.0,168384.0,3248.0,153.53580000000002,0.605033,त्वं मूलाधारस्थितो॑ऽसि नि॒त्यम्।
52,P0003_L0001_S0003,168384.0,172400.0,4016.0,88.14827999999999,0.507765,त्वं शक्तित्र॑यात्म॒कः।
53,P0003_L0002_S0004,172400.0,179120.0,6720.0,141.28466999999998,0.621685,त्वां योगिनो ध्याय॑न्ति नि॒त्यम्।
54,P0003_L0002_S0005,179120.0,183600.0,4480.0,163.061,0.659552,त्वं ब्रह्मा त्वं विष्णुस्त्वं रुद्रस्त्वमिन्द्रस्त्वमग्निस्त्वं
55,P0003_L0003_S0005,183600.0,190800.0,7200.0,277.82685000000004,0.2599,वायुस्त्वं सूर्यस्त्वं चन्द्रमास्त्वं ब्रह्म॒ भूर्भुवः॒ स्वरोम्॥
56,P0003_L0003_S0006,190800.0,191712.0,912.0,1e-06,0.682242,६॥
57,P0003_L0004_S0007,191712.0,192800.0,1088.0,196.9743,0.275648,ग॒णादिं᳚ पूर्व॑मुच्चा॒र्य॒ व॒र्णादिं᳚स्तदन॒न्तरम्।
58,P0003_L0004_S0008,192800.0,194000.0,1200.0,81.79503,0.376289,अनुस्वारः प॑रत॒रः।
59,P0003_L0004_S0009,194000.0,195200.0,1200.0,89.21562,0.302782,अर्धे᳚न्दुल॒सितम्।
60,P0003_L0005_S0010,195200.0,196400.0,1200.0,73.69613999999999,0.338896,तारे॑ण ऋ॒द्धम्।
61,P0003_L0005_S0011,196400.0,197600.0,1200.0,103.05938999999998,0.262718,एतत्तव मनु॑स्वरू॒पम्।
62,P0003_L0005_S0012,197600.0,198800.0,1200.0,87.84254999999999,0.309985,गकारः पू᳚र्वरू॒पम्।
63,P0003_L0005_S0013,198800.0,200000.0,1200.0,105.11952,0.290442,अकारो मध्य॑मरू॒पम्।
64,P0003_L0006_S0014,200000.0,201200.0,1200.0,122.62265999999998,0.305306,अनुस्वारश्चा᳚न्त्यरू॒पम्।
65,P0003_L0006_S0015,201200.0,202400.0,1200.0,92.52485999999998,0.333407,बिन्दुरुत्त॑ररू॒पम्।
66,P0003_L0006_S0016,202400.0,203600.0,1200.0,84.62711999999999,0.28436,नादः॑ सन्धा॒नम्।
67,P0003_L0006_S0017,203600.0,204752.0,1152.0,82.69374,0.659835,सꣳहि॑ता स॒न्धिः।
68,P0003_L0007_S0018,204752.0,206000.0,1248.0,75.37728,0.292412,सैषा गणे॑शवि॒द्या।
69,P0003_L0007_S0019,206000.0,207200.0,1200.0,60.976679999999995,0.256358,गण॑क ऋ॒षिः।
70,P0003_L0007_S0020,207200.0,208400.0,1200.0,94.12565999999998,0.297623,निचृद्गाय॑त्रीच्छ॒न्दः।
71,P0003_L0008_S0021,208400.0,209600.0,1200.0,70.04328,0.275351,गणपति॑र्देव॒ता।
72,P0003_L0008_S0022,209600.0,210688.0,1088.0,108.73985625,0.636248,ॐ गं ग॒णप॑तये नमः॥
73,P0003_L0008_S0023,210688.0,211600.0,912.0,1e-06,0.248063,७॥
74,P0003_L0009_S0024,211600.0,219552.0,7952.0,172.24971,0.606684,एकद॒न्ताय॑ वि॒द्महे॑ वक्रतु॒ण्डाय॑ धीमहि।
75,P0003_L0009_S0025,219552.0,229888.0,10336.0,147.33345000000003,0.605547,तन्नो॑ दन्तिः प्रचो॒दया᳚त्॥
76,P0003_L0009_S0026,229888.0,230800.0,912.0,1e-06,0.248745,८॥
77,P0003_L0010_S0027,230800.0,237072.0,6272.0,195.6357,0.61039,एकद॒न्तं च॑तुर्ह॒स्तं॒ पा॒शम॑ङ्कुश॒धारि॑णम्।
78,P0003_L0010_S0028,237072.0,239760.0,2688.0,185.46509999999998,0.609687,रदं॑ च॒ वर॑दं ह॒स्तै॒र्बि॒भ्राणं॑ मूष॒कध्व॑जम्।
79,P0003_L0011_S0029,239760.0,242800.0,3040.0,177.64919999999998,0.513181,रक्तं ॑ ल॒म्बोद॑रं शू॒र्प॒क॒र्णकं ॑ रक्त॒वास॑सम्।
80,P0003_L0011_S0030,242800.0,255600.0,12800.0,200.05584,0.508951,रक्त॑ग॒न्धानु॑लिप्ता॒ङ्गं ॒ र॒क्तपु॑ष्पैः सु॒पूजि॑तम्।
81,P0003_L0012_S0031,255600.0,269600.0,14000.0,203.99435999999997,0.548135,भक्ता॑नु॒कम्पि॑नं दे॒वं॒ ज॒गत्का॑रण॒मच्यु॑तम्।
82,P0003_L0012_S0032,269600.0,280800.0,11200.0,199.83089999999999,0.65637,आवि॑र्भू॒तं च॑ सृ॒ष्ट्या॒दौ॒ प्र॒कृतेः᳚ पुरु॒षात्प॑रम्।
83,P0003_L0013_S0033,280800.0,293088.0,12288.0,239.651353125,0.622035,एवं॑ ध्या॒यति॑ यो नि॒त्यं॒ स॒ योगी॑ योगि॒नां व॑रः॥
84,P0003_L0013_S0034,293088.0,294000.0,912.0,1e-06,0.265991,९॥
85,P0003_L0014_S0035,294000.0,305696.0,11696.0,61.98839999999999,0.656402,नमो व्रातपतये।
86,P0003_L0014_S0036,305696.0,312032.0,6336.0,60.760799999999996,0.614333,नमो गणपतये।
87,P0003_L0014_S0037,312032.0,323200.0,11168.0,68.1012,0.302537,नमः प्रमथपतये।
88,P0003_L0015_S0038,323200.0,343200.0,20000.0,431.4177,0.274525,नमस्तेऽस्तु लम्बोदरायैकदन्ताय विघ्नविनाशिने शिवसुताय श्रीवरदमूर्तये॒ नमः॑॥
89,P0003_L0015_S0039,343200.0,344128.0,928.0,1e-06,0.585651,१०॥
90,P0003_L0016_S0040,344128.0,347200.0,3072.0,110.12123999999999,0.314505,एतदथर्वशीर्षं॑ योऽधी॒ते।
91,P0003_L0016_S0041,347200.0,349200.0,2000.0,94.77996,0.52085,स ब्रह्मभूया॑य क॒ल्पते।
92,P0003_L0016_S0042,349200.0,351600.0,2400.0,94.11864000000001,0.291674,स सर्वविघ्नै᳚र्न बा॒ध्यते।
93,P0003_L0017_S0043,351600.0,354800.0,3200.0,86.15754,0.597364,स सर्वतः सुख॑मेध॒ते।
94,P0003_L0017_S0044,354800.0,357200.0,2400.0,122.85830999999997,0.332065,स पञ्चमहापापा᳚त्प्रमु॒च्यते।
95,P0003_L0018_S0045,357200.0,360400.0,3200.0,181.93113000000002,0.642446,सा॒यम॑धीया॒नो॒ दिवसकृतं पापं॑ नाश॒यति।
96,P0003_L0018_S0046,360400.0,362800.0,2400.0,170.12839499999998,0.280567,प्रा॒तर॑धीया॒नो॒ रात्रिकृतं पापं॑ नाश॒यति।
97,P0003_L0019_S0047,362800.0,366336.0,3536.0,171.892128,0.629859,सायं प्रातः प्र॑युञ्जा॒नो॒ पापोऽपा॑पो भ॒वति।
98,P0003_L0019_S0048,366336.0,371200.0,4864.0,142.45463999999998,0.541062,सर्वत्राधीयानोऽपवि॑घ्नो भ॒वति।
99,P0003_L0020_S0049,371200.0,373600.0,2400.0,123.54408,0.29739,धर्मार्थकाममोक्षं॑ च वि॒न्दति।
100,P0003_L0020_S0050,373600.0,375568.0,1968.0,157.13148,0.595337,इदमथर्वशीर्षमशिष्याय॑ न दे॒यम्।
101,P0003_L0021_S0051,375568.0,378000.0,2432.0,187.61631,0.347723,यो यदि मो॑हाद् दा॒स्यति स पापी॑यान्भ॒वति।
102,P0003_L0022_S0052,378000.0,380288.0,2288.0,287.24752499999994,0.637938,सहस्रावर्तनाद्यं यं काम॑मधी॒ते तं तमने॑न सा॒धयेत्॥
103,P0003_L0022_S0053,380288.0,381200.0,912.0,1e-06,0.287749,११॥
104,P0003_L0023_S0054,381200.0,386400.0,5200.0,189.51088800000002,0.482126,अनेन गणपतिम॑भिषि॒ञ्चति स वा॑ग्मी भ॒वति।
105,P0003_L0024_S0055,386400.0,394400.0,8000.0,195.66888000000003,0.515006,चतुर्थ्यामन॑श्नन्ज॒पति स विद्या॑वान्भ॒वति।
106,P0003_L0024_S0056,394400.0,399536.0,5136.0,98.68793999999998,0.613816,इत्यथर्व॑णवा॒क्यम्।
107,P0003_L0025_S0057,399536.0,402672.0,3136.0,231.11520000000002,0.453087,ब्रह्माद्यावर॑णं वि॒द्यान्न बिभेति कदा॑चने॒ति॥
108,P0003_L0025_S0058,402672.0,403600.0,928.0,1e-06,0.302536,१२॥
109,P0003_L0026_S0059,403600.0,405200.0,1600.0,176.74480800000003,0.539944,यो दूर्वाङ्कु॑रैर्य॒जति स वैश्रवणोप॑मो भ॒वति।
110,P0003_L0027_S0060,405200.0,408352.0,3152.0,151.14414,0.600087,यो ला॑जैर्य॒जति स यशो॑वान्भ॒वति।
111,P0003_L0027_S0061,408352.0,414992.0,6640.0,82.94055,0.646459,स मेधा॑वान्भ॒वति।
112,P0004_L0001_S0001,414992.0,421600.0,6608.0,227.11065600000003,0.498683,यो मोदकसहस्रे॑ण य॒जति स वाञ्छितफलम॑वाप्नो॒ति।
113,P0004_L0002_S0002,421600.0,435888.0,14288.0,266.96565,0.632625,यः साज्य समि॑द्भिर्य॒जति स सर्वं लभते स स॑र्वं ल॒भते॥
114,P0004_L0002_S0003,435888.0,436800.0,912.0,1e-06,0.289335,१३॥
115,P0004_L0003_S0004,436800.0,442736.0,5936.0,244.61472000000003,0.636657,अष्टौ ब्राह्मणान्सम्यग्ग्रा॑हयि॒त्वा सूर्यवर्च॑स्वी भ॒वति।
116,P0004_L0004_S0005,442736.0,450800.0,8064.0,260.14930285714286,0.502435,सूर्यग्रहे म॑हान॒द्यां प्रतिमासन्निधौ वा ज॒प्त्वा सिद्धम॑न्त्रो भ॒वति।
117,P0004_L0005_S0006,450800.0,459232.0,8432.0,104.52947999999998,0.63181,महाविघ्ना᳚त्प्रमु॒च्यते।
118,P0004_L0005_S0007,459232.0,463296.0,4064.0,102.95904,0.583944,महादोषा᳚त्प्रमु॒च्यते।
119,P0004_L0005_S0008,463296.0,467264.0,3968.0,102.96041999999997,0.573069,महापापा᳚त्प्रमु॒च्यते।
120,P0004_L0006_S0009,467264.0,471200.0,3936.0,126.76403999999998,0.602527,महाप्रत्यवाया᳚त्प्रमु॒च्यते।
121,P0004_L0006_S0010,471200.0,476000.0,4800.0,131.869155,0.528304,स सर्वविद्भवति स सर्व॑विद्भ॒वति।
122,P0004_L0007_S0011,476000.0,477200.0,1200.0,40.27188,0.310348,य ए॑वं वे॒द।
123,P0004_L0007_S0012,477200.0,479200.0,2000.0,94.1574,0.268396,इत्यु॑प॒निष॑त्॥
124,P0004_L0007_S0013,479200.0,480112.0,912.0,1e-06,0.562366,१४॥
125,P0004_L0008_S0014,480112.0,482544.0,2432.0,158.86666875000003,0.55185,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
126,P0004_L0009_S0015,482544.0,487136.0,4592.0,69.37524,0.57867,ॐ स॒ह ना॑ववतु।
127,P0004_L0009_S0016,487136.0,488400.0,1264.0,57.38832000000001,0.299629,स॒ह नौ॑ भुनक्तु।
128,P0004_L0010_S0017,488400.0,490400.0,2000.0,82.87488,0.301372,स॒ह वी॒र्यं॑ करवावहै।
129,P0004_L0011_S0018,490400.0,492000.0,1600.0,167.94492,0.472991,ते॒ज॒स्विना॒वधी॑तमस्तु॒ मा वि॑द्विषा॒वहै᳚।
130,P0004_L0012_S0019,492000.0,494400.0,2400.0,158.86666875000003,0.3078,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
131,P0004_L0013_S0020,494400.0,497360.0,2960.0,135.09154800000002,0.630972,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।
132,P0004_L0013_S0021,497360.0,501168.0,3808.0,117.76091999999998,0.614045,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।
133,P0004_L0014_S0022,501168.0,503200.0,2032.0,145.59966,0.314011,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।
134,P0004_L0014_S0023,503200.0,505168.0,1968.0,107.9781,0.575194,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।
135,P0004_L0015_S0024,505168.0,509344.0,4176.0,114.7884,0.577165,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।
136,P0004_L0015_S0025,509344.0,510400.0,1056.0,118.06728000000001,0.327448,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।
137,P0004_L0016_S0026,510400.0,512400.0,2000.0,139.55249999999998,0.299049,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।
138,P0004_L0016_S0027,512400.0,514000.0,1600.0,153.50257499999998,0.610244,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥
139,P0004_L0017_S0028,514000.0,517807.969,3807.969,158.86666875000003,0.615873,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥
140,P0004_L0018_S0029,517807.969,520000.0,2192.031,215.23800000000003,0.318081,Encoded by Sunder Hattangadi with Vedic accents (Svaras.)
141,P0004_L0019_S0029,520000.0,521200.0,1200.0,245.893,0.302885,"The accents and re-proofreading by Kirk Wortman, Daya Aithal, NA"
142,P0004_L0020_S0029,521200.0,523600.0,2400.0,278.293,0.947206,Shri Ganapati Atharvashirsha Upanishat or Ganapati Upanishat with Accents
143,P0004_L0021_S0029,523600.0,525200.0,1600.0,107.496,0.986393,"pdf was typeset on February 1, 2026"
144,P0004_L0022_S0029,525200.0,526338.0,1138.0,179.18899999999996,0.981569,Please send corrections to sanskrit@cheerful.com
