idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
126,P0004_L0009_S0015,ॐ स॒ह ना॑ववतु।,482544.0,487136.0,4592.0,444564.976,487136.0,42571.024,2478.663,496.0,-26.9555,3.241,0.57867,69.37524
127,P0004_L0009_S0016,स॒ह नौ॑ भुनक्तु।,487136.0,488400.0,1264.0,446313.162,488400.0,42086.838,-484.186,0.0,-16.8561,-3.2689,0.299629,57.38832
128,P0004_L0010_S0017,स॒ह वी॒र्यं॑ करवावहै।,488400.0,490400.0,2000.0,448837.731,490400.0,41562.269,-524.568,0.0,-16.4884,-2.5664,0.301372,82.87488
129,P0004_L0011_S0018,ते॒ज॒स्विना॒वधी॑तमस्तु॒ मा वि॑द्विषा॒वहै᳚।,490400.0,492000.0,1600.0,453953.737,492000.0,38046.263,-3516.006,560.0,-22.4179,-14.5762,0.472991,167.94492
130,P0004_L0012_S0019,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,492000.0,494400.0,2400.0,458793.198,494400.0,35606.802,-2439.461,0.0,-17.6078,-2.3629,0.3078,158.866669
131,P0004_L0013_S0020,ॐ भ॒द्रं कर्णे॑भिः श‍ृणु॒याम॑ देवाः।,494400.0,497360.0,2960.0,462908.412,497360.0,34451.588,-1155.214,576.0,-30.1679,4.074,0.630972,135.091548
132,P0004_L0013_S0021,भ॒द्रं प॑श्येमा॒क्षभि॒र्यज॑त्राः।,497360.0,501168.0,3808.0,466495.693,501168.0,34672.307,220.719,544.0,-29.6158,3.6937,0.614045,117.76092
133,P0004_L0014_S0022,स्थि॒रैरङ्गै᳚स्तुष्टु॒वाꣳ स॑स्त॒नूभिः॑।,501168.0,503200.0,2032.0,470931.009,503200.0,32268.991,-2403.316,0.0,-15.2834,1.0911,0.314011,145.59966
134,P0004_L0014_S0023,व्यशे॑म दे॒वहि॑तं॒ यदायुः॑।,503200.0,505168.0,1968.0,474220.282,505168.0,30947.718,-1321.273,496.0,-26.2976,3.2727,0.575194,107.9781
135,P0004_L0015_S0024,स्व॒स्ति न॒ इन्द्रो॑ वृ॒द्धश्र॑वाः।,505168.0,509344.0,4176.0,477717.013,509344.0,31626.987,679.269,496.0,-27.0565,2.8841,0.577165,114.7884
136,P0004_L0015_S0025,स्व॒स्ति नः॑ पू॒षा वि॒श्ववे॑दाः।,509344.0,510400.0,1056.0,481313.626,510400.0,29086.374,-2540.614,0.0,-17.1901,1.8587,0.327448,118.06728
137,P0004_L0016_S0026,स्व॒स्ति न॒स्तार्क्ष्यो॒ अरि॑ष्टनेमिः।,510400.0,512400.0,2000.0,485564.731,512400.0,26835.269,-2251.105,0.0,-15.1993,-1.7942,0.299049,139.5525
138,P0004_L0016_S0027,स्व॒स्ति नो॒ बृह॒स्पति॑र्दधातु॥,512400.0,514000.0,1600.0,490240.789,514000.0,23759.211,-3076.058,544.0,-27.7529,4.8084,0.610244,153.502575
139,P0004_L0017_S0028,ॐ शान्तिः॒ शान्तिः॒ शान्तिः॑॥,514000.0,517807.969,3807.969,495080.25,517807.969,22727.719,-1031.492,544.0,-29.7236,3.9154,0.615873,158.866669
140,P0004_L0018_S0029,Encoded by Sunder Hattangadi with Vedic accents (Svaras.),517807.969,520000.0,2192.031,501636.918,520000.0,18363.082,-4364.637,0.0,-15.7259,1.4595,0.318081,215.238
141,P0004_L0019_S0029,"The accents and re-proofreading by Kirk Wortman, Daya Aithal, NA",520000.0,521200.0,1200.0,509127.41,521200.0,12072.59,-6290.493,0.0,-17.2386,-2.9846,0.302885,245.893
142,P0004_L0020_S0029,Shri Ganapati Atharvashirsha Upanishat or Ganapati Upanishat with Accents,521200.0,523600.0,2400.0,517604.885,523600.0,5995.115,-6077.475,2063.999,-34.3706,0.2805,0.947206,278.293
143,P0004_L0021_S0029,"pdf was typeset on February 1, 2026",523600.0,525200.0,1600.0,520879.472,525200.0,4320.528,-1674.587,2591.999,-46.0886,12.8016,0.986393,107.496
144,P0004_L0022_S0029,Please send corrections to sanskrit@cheerful.com,525200.0,526338.0,1138.0,526338.0,526338.0,-0.0,-4320.528,1520.0,-120.0,0.0,0.981569,179.189
